,"('House1', 'ElectricityCarrier', 'distribution')","('House1', 'ElectricityCarrier', 'distribution')","('House1', 'ElectricityCarrier', 'feed_in')","('House1', 'ElectricityGridConnection', 'grid_export')","('House1', 'ElectricityGridConnection', 'grid_import')","('House1', 'ElectricityGridConnection', 'source_import')","('House1', 'PV', 'connection')","('House1', 'PV', 'connection')","('House1', 'PV', 'source')","('House1', 'demand', 'input')","('House1', 'storage1', 'Battery_Storage')"
2023-10-02 16:49:00+02:00,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,1230.0
2023-10-02 16:50:00+02:00,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,1230.0
2023-10-02 16:51:00+02:00,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,1230.0
2023-10-02 16:52:00+02:00,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,1230.0
2023-10-02 16:53:00+02:00,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,1230.0
2023-10-02 16:54:00+02:00,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,1230.0
2023-10-02 16:55:00+02:00,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,1230.0
2023-10-02 16:56:00+02:00,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,1230.0
2023-10-02 16:57:00+02:00,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,1230.0
2023-10-02 16:58:00+02:00,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,1230.0
2023-10-02 16:59:00+02:00,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,1230.0
2023-10-02 17:00:00+02:00,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0
2023-10-02 17:01:00+02:00,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0
2023-10-02 17:02:00+02:00,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0
2023-10-02 17:03:00+02:00,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0
2023-10-02 17:04:00+02:00,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0
2023-10-02 17:05:00+02:00,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0
2023-10-02 17:06:00+02:00,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0
2023-10-02 17:07:00+02:00,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0
2023-10-02 17:08:00+02:00,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0
2023-10-02 17:09:00+02:00,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0
2023-10-02 17:10:00+02:00,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0
2023-10-02 17:11:00+02:00,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0
2023-10-02 17:12:00+02:00,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0
2023-10-02 17:13:00+02:00,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0
2023-10-02 17:14:00+02:00,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0
2023-10-02 17:15:00+02:00,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,830.0
2023-10-02 17:16:00+02:00,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,830.0
2023-10-02 17:17:00+02:00,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,830.0
2023-10-02 17:18:00+02:00,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,830.0
2023-10-02 17:19:00+02:00,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,830.0
2023-10-02 17:20:00+02:00,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,830.0
2023-10-02 17:21:00+02:00,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,830.0
2023-10-02 17:22:00+02:00,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,830.0
2023-10-02 17:23:00+02:00,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,830.0
2023-10-02 17:24:00+02:00,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,830.0
2023-10-02 17:25:00+02:00,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,830.0
2023-10-02 17:26:00+02:00,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,830.0
2023-10-02 17:27:00+02:00,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,830.0
2023-10-02 17:28:00+02:00,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,830.0
2023-10-02 17:29:00+02:00,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,830.0
2023-10-02 17:30:00+02:00,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,2120.0
2023-10-02 17:31:00+02:00,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,2120.0
2023-10-02 17:32:00+02:00,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,2120.0
2023-10-02 17:33:00+02:00,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,2120.0
2023-10-02 17:34:00+02:00,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,2120.0
2023-10-02 17:35:00+02:00,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,2120.0
2023-10-02 17:36:00+02:00,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,2120.0
2023-10-02 17:37:00+02:00,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,2120.0
2023-10-02 17:38:00+02:00,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,2120.0
2023-10-02 17:39:00+02:00,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,2120.0
2023-10-02 17:40:00+02:00,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,2120.0
2023-10-02 17:41:00+02:00,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,2120.0
2023-10-02 17:42:00+02:00,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,2120.0
2023-10-02 17:43:00+02:00,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,2120.0
2023-10-02 17:44:00+02:00,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,2120.0
2023-10-02 17:45:00+02:00,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1380.0
2023-10-02 17:46:00+02:00,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1380.0
2023-10-02 17:47:00+02:00,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1380.0
2023-10-02 17:48:00+02:00,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1380.0
2023-10-02 17:49:00+02:00,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1380.0
2023-10-02 17:50:00+02:00,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1380.0
2023-10-02 17:51:00+02:00,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1380.0
2023-10-02 17:52:00+02:00,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1380.0
2023-10-02 17:53:00+02:00,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1380.0
2023-10-02 17:54:00+02:00,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1380.0
2023-10-02 17:55:00+02:00,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1380.0
2023-10-02 17:56:00+02:00,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1380.0
2023-10-02 17:57:00+02:00,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1380.0
2023-10-02 17:58:00+02:00,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1380.0
2023-10-02 17:59:00+02:00,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1380.0
2023-10-02 18:00:00+02:00,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1160.0
2023-10-02 18:01:00+02:00,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1160.0
2023-10-02 18:02:00+02:00,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1160.0
2023-10-02 18:03:00+02:00,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1160.0
2023-10-02 18:04:00+02:00,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1160.0
2023-10-02 18:05:00+02:00,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1160.0
2023-10-02 18:06:00+02:00,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1160.0
2023-10-02 18:07:00+02:00,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1160.0
2023-10-02 18:08:00+02:00,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1160.0
2023-10-02 18:09:00+02:00,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1160.0
2023-10-02 18:10:00+02:00,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1160.0
2023-10-02 18:11:00+02:00,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1160.0
2023-10-02 18:12:00+02:00,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1160.0
2023-10-02 18:13:00+02:00,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1160.0
2023-10-02 18:14:00+02:00,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,1160.0
2023-10-02 18:15:00+02:00,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,820.0
2023-10-02 18:16:00+02:00,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,820.0
2023-10-02 18:17:00+02:00,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,820.0
2023-10-02 18:18:00+02:00,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,820.0
2023-10-02 18:19:00+02:00,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,820.0
2023-10-02 18:20:00+02:00,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,820.0
2023-10-02 18:21:00+02:00,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,820.0
2023-10-02 18:22:00+02:00,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,820.0
2023-10-02 18:23:00+02:00,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,820.0
2023-10-02 18:24:00+02:00,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,820.0
2023-10-02 18:25:00+02:00,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,820.0
2023-10-02 18:26:00+02:00,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,820.0
2023-10-02 18:27:00+02:00,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,820.0
2023-10-02 18:28:00+02:00,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,820.0
2023-10-02 18:29:00+02:00,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,820.0
2023-10-02 18:30:00+02:00,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2023-10-02 18:31:00+02:00,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2023-10-02 18:32:00+02:00,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2023-10-02 18:33:00+02:00,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2023-10-02 18:34:00+02:00,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2023-10-02 18:35:00+02:00,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2023-10-02 18:36:00+02:00,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2023-10-02 18:37:00+02:00,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2023-10-02 18:38:00+02:00,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2023-10-02 18:39:00+02:00,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2023-10-02 18:40:00+02:00,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2023-10-02 18:41:00+02:00,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2023-10-02 18:42:00+02:00,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2023-10-02 18:43:00+02:00,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2023-10-02 18:44:00+02:00,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2023-10-02 18:45:00+02:00,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0
2023-10-02 18:46:00+02:00,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0
2023-10-02 18:47:00+02:00,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0
2023-10-02 18:48:00+02:00,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0
2023-10-02 18:49:00+02:00,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0
2023-10-02 18:50:00+02:00,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0
2023-10-02 18:51:00+02:00,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0
2023-10-02 18:52:00+02:00,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0
2023-10-02 18:53:00+02:00,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0
2023-10-02 18:54:00+02:00,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0
2023-10-02 18:55:00+02:00,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0
2023-10-02 18:56:00+02:00,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0
2023-10-02 18:57:00+02:00,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0
2023-10-02 18:58:00+02:00,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0
2023-10-02 18:59:00+02:00,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0
2023-10-02 19:00:00+02:00,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,2080.0
2023-10-02 19:01:00+02:00,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,2080.0
2023-10-02 19:02:00+02:00,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,2080.0
2023-10-02 19:03:00+02:00,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,2080.0
2023-10-02 19:04:00+02:00,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,2080.0
2023-10-02 19:05:00+02:00,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,2080.0
2023-10-02 19:06:00+02:00,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,2080.0
2023-10-02 19:07:00+02:00,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,2080.0
2023-10-02 19:08:00+02:00,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,2080.0
2023-10-02 19:09:00+02:00,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,2080.0
2023-10-02 19:10:00+02:00,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,2080.0
2023-10-02 19:11:00+02:00,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,2080.0
2023-10-02 19:12:00+02:00,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,2080.0
2023-10-02 19:13:00+02:00,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,2080.0
2023-10-02 19:14:00+02:00,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,2080.0
2023-10-02 19:15:00+02:00,4130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,4130.0
2023-10-02 19:16:00+02:00,4130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,4130.0
2023-10-02 19:17:00+02:00,4130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,4130.0
2023-10-02 19:18:00+02:00,4130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,4130.0
2023-10-02 19:19:00+02:00,4130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,4130.0
2023-10-02 19:20:00+02:00,4130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,4130.0
2023-10-02 19:21:00+02:00,4130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,4130.0
2023-10-02 19:22:00+02:00,4130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,4130.0
2023-10-02 19:23:00+02:00,4130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,4130.0
2023-10-02 19:24:00+02:00,4130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,4130.0
2023-10-02 19:25:00+02:00,4130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,4130.0
2023-10-02 19:26:00+02:00,4130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,4130.0
2023-10-02 19:27:00+02:00,4130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,4130.0
2023-10-02 19:28:00+02:00,4130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,4130.0
2023-10-02 19:29:00+02:00,4130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,4130.0
2023-10-02 19:30:00+02:00,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5200.0
2023-10-02 19:31:00+02:00,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5200.0
2023-10-02 19:32:00+02:00,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5200.0
2023-10-02 19:33:00+02:00,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5200.0
2023-10-02 19:34:00+02:00,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5200.0
2023-10-02 19:35:00+02:00,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5200.0
2023-10-02 19:36:00+02:00,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5200.0
2023-10-02 19:37:00+02:00,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5200.0
2023-10-02 19:38:00+02:00,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5200.0
2023-10-02 19:39:00+02:00,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5200.0
2023-10-02 19:40:00+02:00,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5200.0
2023-10-02 19:41:00+02:00,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5200.0
2023-10-02 19:42:00+02:00,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5200.0
2023-10-02 19:43:00+02:00,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5200.0
2023-10-02 19:44:00+02:00,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,5200.0
2023-10-02 19:45:00+02:00,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0
2023-10-02 19:46:00+02:00,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0
2023-10-02 19:47:00+02:00,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0
2023-10-02 19:48:00+02:00,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0
2023-10-02 19:49:00+02:00,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0
2023-10-02 19:50:00+02:00,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0
2023-10-02 19:51:00+02:00,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0
2023-10-02 19:52:00+02:00,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0
2023-10-02 19:53:00+02:00,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0
2023-10-02 19:54:00+02:00,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0
2023-10-02 19:55:00+02:00,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0
2023-10-02 19:56:00+02:00,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0
2023-10-02 19:57:00+02:00,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0
2023-10-02 19:58:00+02:00,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0
2023-10-02 19:59:00+02:00,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0
2023-10-02 20:00:00+02:00,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0
2023-10-02 20:01:00+02:00,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0
2023-10-02 20:02:00+02:00,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0
2023-10-02 20:03:00+02:00,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0
2023-10-02 20:04:00+02:00,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0
2023-10-02 20:05:00+02:00,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0
2023-10-02 20:06:00+02:00,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0
2023-10-02 20:07:00+02:00,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0
2023-10-02 20:08:00+02:00,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0
2023-10-02 20:09:00+02:00,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0
2023-10-02 20:10:00+02:00,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0
2023-10-02 20:11:00+02:00,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0
2023-10-02 20:12:00+02:00,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0
2023-10-02 20:13:00+02:00,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0
2023-10-02 20:14:00+02:00,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,3580.0
2023-10-02 20:15:00+02:00,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,3680.0
2023-10-02 20:16:00+02:00,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,3680.0
2023-10-02 20:17:00+02:00,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,3680.0
2023-10-02 20:18:00+02:00,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,3680.0
2023-10-02 20:19:00+02:00,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,3680.0
2023-10-02 20:20:00+02:00,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,3680.0
2023-10-02 20:21:00+02:00,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,3680.0
2023-10-02 20:22:00+02:00,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,3680.0
2023-10-02 20:23:00+02:00,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,3680.0
2023-10-02 20:24:00+02:00,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,3680.0
2023-10-02 20:25:00+02:00,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,3680.0
